"Zoom in (you can also use your mouse\'s scroll wheel)","Zoom avant (vous pouvez également utiliser la molette de défilement de votre souris)"
"Zoom out (you can also use your mouse\'s scroll wheel)","Zoom arrière (vous pouvez aussi utiliser la molette de défilement de votre souris)"
"Go home","Par défaut"
"Toggle full page","Basculer le mode plein écran"
"More Views","Plus de vues"
"Use Deepzoom","Utiliser Deep Zoom"
"Create Deep Zoom image only in the back office","Créer les images Deep Zoom que depuis le back-office"
"If you select \"No\", be careful, this slows down the front office (product page)","Si vous sélectionnez \"Non\", soyez prudent, cela ralentit le front office (page produit)"
"Catalog Product Image Gallery with Deepzoom","Gallerie d'image d'un produit avec Deep Zoom"
"Show image gallery to a Specified Product","Show image gallery to a Specified Product"
"Catalog Product Image with Deepzoom","Image d'un produit avec Deep Zoom"
"Auto Hide Controls","Masquer automatiquement les contrôles"
"Whether controls should get automatically hidden when the user's mouse is off the viewer and the image has stopped animating.","Masque les contrôles lorsque la souris est en dehors de la zone."
"Image Path","Chemin des images"
"The path for all UI images. This can be absolute or relative. If relative, it must be relative to the HTML page. A change to this value will only affect new viewers.","Le chemin d'accès pour toutes les images d'interface utilisateur."
"Zoom Per Click","Zoom par clic"
"The factor by which images should zoom when clicked on.","Le facteur par lequel les images doivent zoomer lors d'un clic."
"Zoom Per Scroll","Zoom par scroll"
"The factor by which images should zoom when scrolled over.","Le facteur par lequel les images doivent zoomer lorsque ca défile."
"Zoom Per Second","Zoom par seconde"
"The factor by which images should zoom over each second when the zoom buttons are held down.","Le facteur par lequel les images doivent zoomer lorsque les boutons de zoom sont maintenus."
"Min Zoom Image Ratio","Ratio min pour le zoom"
"The minimum image ratio (image size to viewer size) in both dimensions that can result from zooming out.","Le ratio d'image minimum dans les deux dimensions qui peuvent résulter d'un zoom arrière."
"Max Zoom Pixel Ratio","Ratio ax pour le zoom"
"The maximum pixel ratio (screen pixel to content pixel) that can result from zooming in.","Le ratio maximal de pixels qui peuvent résulter du zoom."
"Image Loader Limit",Limite d'images chargées"
"The maximum number of concurrent image downloads that can be performed by each viewer.","Le nombre maximal de téléchargements simultanés d'images qui peuvent être effectuées."